x,y,layer1,layer2,voltage1,voltage2,current
-38.6253,-1071.41,TOP_LAYER,BOTTOM_LAYER,0.00184611,0,3.5
61.3747,-1071.41,TOP_LAYER,BOTTOM_LAYER,3.29465,3.2965,-3.5
